"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"1",32,"technician","single","professional.course","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"2",38,"technician","married","professional.course","no","yes","no","cellular","mar","fri",2,7,1,"success",-1.8,92.843,-50,1.726,5099.1,"yes"
"3",38,"management","married","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"4",54,"technician","married","university.degree","unknown","yes","yes","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
"5",26,"admin.","single","university.degree","no","yes","no","cellular","nov","tue",3,7,1,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes"
"6",31,"housemaid","single","university.degree","no","no","no","cellular","nov","mon",4,999,0,"nonexistent",-1.1,94.767,-50.8,1.039,4963.6,"no"
"7",45,"housemaid","divorced","basic.4y","unknown","yes","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"8",44,"unknown","married","high.school","unknown","no","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"9",29,"admin.","single","university.degree","no","no","no","cellular","aug","mon",7,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"10",29,"admin.","married","university.degree","no","no","yes","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"11",55,"admin.","married","high.school","no","no","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"12",34,"entrepreneur","married","university.degree","unknown","yes","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"yes"
"13",37,"unemployed","married","professional.course","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"14",31,"admin.","married","university.degree","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"15",54,"services","married","high.school","no","yes","no","cellular","aug","fri",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"16",34,"management","married","university.degree","no","no","no","cellular","nov","wed",2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"17",50,"services","married","university.degree","unknown","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
"18",43,"services","married","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes"
"19",36,"admin.","single","basic.9y","no","no","yes","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"20",39,"admin.","married","high.school","no","no","no","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"21",41,"services","divorced","basic.9y","no","yes","no","telephone","may","wed",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"22",54,"retired","married","professional.course","no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"23",30,"services","divorced","high.school","no","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no"
"24",28,"admin.","single","university.degree","no","no","no","cellular","aug","fri",1,4,2,"success",-2.9,92.201,-31.4,0.881,5076.2,"yes"
"25",44,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"26",37,"technician","married","high.school","unknown","no","yes","cellular","may","thu",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"27",30,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"28",36,"technician","married","university.degree","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"29",44,"admin.","married","high.school","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
"30",35,"admin.","single","university.degree","no","yes","yes","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"31",60,"retired","divorced","basic.4y","no","no","no","cellular","jun","mon",5,999,0,"nonexistent",-2.9,92.963,-40.8,1.215,5076.2,"no"
"32",28,"services","single","high.school","no","no","no","cellular","may","thu",4,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
"33",31,"admin.","married","university.degree","no","no","no","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"34",46,"admin.","single","university.degree","no","yes","no","cellular","nov","tue",3,999,1,"failure",-1.1,94.767,-50.8,1.046,4963.6,"no"
