"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
32,"technician","single","professional.course","no","yes","no","cellular","jul","tue",479,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
38,"technician","married","professional.course","no","yes","no","cellular","mar","fri",207,2,7,1,"success",-1.8,92.843,-50,1.726,5099.1,"yes"
38,"management","married","university.degree","no","no","no","cellular","aug","wed",157,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
54,"technician","married","university.degree","unknown","yes","yes","telephone","jun","fri",123,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
26,"admin.","single","university.degree","no","yes","no","cellular","nov","tue",309,3,7,1,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes"
31,"housemaid","single","university.degree","no","no","no","cellular","nov","mon",159,4,999,0,"nonexistent",-1.1,94.767,-50.8,1.039,4963.6,"no"
45,"housemaid","divorced","basic.4y","unknown","yes","no","cellular","jul","wed",458,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
44,"unknown","married","high.school","unknown","no","no","cellular","jul","tue",153,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
29,"admin.","single","university.degree","no","no","no","cellular","aug","mon",9,7,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
29,"admin.","married","university.degree","no","no","yes","telephone","jun","fri",76,3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
55,"admin.","married","high.school","no","no","no","telephone","may","fri",129,6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"entrepreneur","married","university.degree","unknown","yes","no","cellular","nov","mon",2462,2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"yes"
37,"unemployed","married","professional.course","no","no","no","telephone","may","thu",140,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
31,"admin.","married","university.degree","no","no","no","cellular","nov","thu",157,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
54,"services","married","high.school","no","yes","no","cellular","aug","fri",111,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
34,"management","married","university.degree","no","no","no","cellular","nov","wed",363,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
50,"services","married","university.degree","unknown","no","no","cellular","may","tue",116,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
43,"services","married","high.school","no","no","no","cellular","jul","mon",710,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes"
36,"admin.","single","basic.9y","no","no","yes","cellular","jul","tue",155,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
39,"admin.","married","high.school","no","no","no","telephone","may","wed",211,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
41,"services","divorced","basic.9y","no","yes","no","telephone","may","wed",189,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
54,"retired","married","professional.course","no","yes","no","cellular","jul","fri",72,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
30,"services","divorced","high.school","no","yes","yes","cellular","jul","fri",39,2,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no"
28,"admin.","single","university.degree","no","no","no","cellular","aug","fri",262,1,4,2,"success",-2.9,92.201,-31.4,0.881,5076.2,"yes"
